Name,Comment,Time,Likes,Reply Count
Ade Nuryana,Cewe Indonesia hobynya tiktokan,2022-03-19T00:09:17Z,0,
Lazuardi zaki Yamani,Maru viralkan lg nih band. Kalian berhasil mendobrak musik Indonesia...biarkan apa kata org lain...tetap berkarya dan jangan takut jika kalian berbeda,2022-03-18T16:11:56Z,6,0
Jeni sujana,"Lagu nya mantap& videoklip nya keren,,,tp sayang dinegara kita kurang apresiasi apalagi kaum hawa
Padahal isi lagu ini sangat memperjuangkan kebebasan kaum hawa,,,aku aja sebagai cowok sangat2 mengapresiasi lagu2 yg diciptakan oleh VOB,,maju trus VOB kalian sangat keren & insfiratip bagi kaum hawa milenia",2022-03-18T13:42:34Z,17,3
Mirwanthi,Jeni sujana# betul banget indonesia kurang dukungan nya sukanya dukung yg alay2,2022-03-25T14:05:43Z,1,
Power Kiids1106,Cewe2 Indo hobinya pada tiktok'an bro,2022-03-19T06:53:22Z,3,
Ikhwanul Taqwa,"Lagu ini bukan hanya soal musik saja, tapi pesan yang disampaikan VoB begitu kuat. Itulah inti kekuatan musik sesungguhnya ketika menulis lirik dengan sangat jujur. Bravo VoB",2022-03-18T10:23:33Z,19,0
Rayyanzf Rocketbee,"Ahhh gak tau mau bilang apa,, sumpah berkelas banget lagu nya",2022-03-18T09:27:10Z,9,0
Gunadi Komori,Berjuanglah Terus sampai menuju di puncaknya Semangat dan Semangat!! ... 🤘🤘🤘🤘🤘,2022-03-18T08:54:34Z,21,0
generasi biru,"Ku merasa kembali ke jaman itu
You rock",2022-03-18T08:28:17Z,8,0
buat download,makin keren aja nih bocil2.. 👍,2022-03-18T06:44:26Z,4,0
Joni Sutisna,"Saya sampai berlinang air mata bangga, kualitas musik vob makin matang gk salah klo di sebut udah kelas dunia,moga terus berkarya bikin bangga kita yang meng indolakanmu",2022-03-18T06:22:47Z,10,1
RIC Visual,mantap..puaskan lahh berkaryaa..kalo udah punya suami dan anak pasti akan agak susah seperti ini lagi,2022-03-17T11:00:15Z,4,0
midun913,"Mohon maaf sis.....kalau bisa bawain lagu pilih² yg nggak pake kata² kasar.
Sekali lagi maaf.",2022-03-17T09:48:05Z,1,3
Zaki nindi,"Mungkin anda jika mengalami pelecehan sexual juga akan mengeluarkan kata kata kasar, lagu ini real terjadi dari kejadian nyata yg pernah mereka alami, dan juga menyuarakan keadilan dan menyuarakan para wanita yg pernah mengalami pelecehan sexual. Semua ada konteksnya, ada dimensinya.",2022-03-17T10:14:06Z,2,
Vin Barep,"Lagu sindiran buat cewek"" Yg suka jual badan di TikT*k 😂 (  Our body is not public property ) 🔥🔥🔥",2022-03-16T20:59:15Z,14,2
Dyah Ayu,"Justru kebalikannya mas, ini lagu sindiran atas budaya patriarki yg membatasi wanita untuk berekspresi. coba dibaca lagi liriknya.",2022-03-27T13:27:06Z,1,
ore sanjou,"Keren banget lah, lagunya keren , musikny enak banget terus berkarya VOb",2022-03-16T06:03:53Z,2,0
Jenggo 1991,"Sumpah keren banggeeettt,, gue aja yg laki2 belum tentu bisa seperti kalian,, SALUT buat kalian 🤘🤘🤘🤘",2022-03-16T04:07:49Z,21,0
